"Gene","ACC_HR","BLCA_HR","BRCA_HR","CESC_HR","CHOL_HR","COAD_HR","DLBC_HR","ESCA_HR","GBM_HR","HNSC_HR","KICH_HR","KIRC_HR","KIRP_HR","LAML_HR","LGG_HR","LIHC_HR","LUAD_HR","LUSC_HR","MESO_HR","OV_HR","PAAD_HR","PCPG_HR","PRAD_HR","READ_HR","SARC_HR","SKCM_HR","STAD_HR","TGCT_HR","THCA_HR","THYM_HR","UCEC_HR","UCS_HR","UVM_HR"
"C2CD4D",1,1.1,0.76,1,0.94,0.72,2.4,1.2,1.1,0.71,0.14,0.89,0.89,1.2,1.4,0.87,1.2,0.91,1,0.87,0.66,1.5,1,1.8,0.95,1,0.76,1.3,1.1,4.4,1.1,1,0.67
"C2CD5",1.2,0.8,1.1,0.95,0.88,0.72,4.1,0.94,1.1,0.84,2.6,0.73,0.94,1.1,0.87,1.2,1,0.91,0.8,1.1,0.69,5.7,3.3,0.28,1.2,0.93,0.98,0.69,1.5,2.8,1.6,0.95,1.7
"C3",1,0.96,0.76,0.84,1.1,1.7,0.59,1.1,1.1,1,0.14,1,0.85,1.2,1.7,0.82,0.97,1.2,0.47,1,1.1,1,1,1.1,0.77,0.72,1.1,4.3,0.43,1.5,0.94,0.88,1.1
"C3AR1",1.1,1.2,1.3,0.92,0.58,0.9,0.85,1.4,1.2,0.98,1.5,0.72,0.6,1.1,1.7,1.2,0.77,1.4,0.73,0.97,1.2,0.19,0.49,0.68,0.76,1,1.1,5.9e+08,0.47,7.6,1.1,0.9,2.3
"C3P1",1,1,1,1,1.7,1,1,1,1,1,1,1,1,1,1,0.62,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1
"C4A",1.1,1.1,0.85,0.88,1.8,1.1,0.91,1,1.2,0.96,1.2,1.2,0.65,1.1,1.6,0.84,0.78,1.2,0.53,1,0.93,0.55,0.56,1.4,0.61,0.62,1.4,1,0.75,1.3,0.9,1.1,1
"C4B",1,1.1,0.9,0.89,1.5,1.2,0.52,1,1.2,0.92,1.2,1.3,0.61,0.69,1.8,0.85,0.85,1.1,0.5,0.99,1.1,0.54,0.58,1.8,0.62,0.66,1.4,1.1,0.32,1.3,0.92,0.98,4.1
"C4BPA",1.2,1.1,0.61,0.95,0.82,0.83,1,1.2,1.5,1.1,1,1.5,1.4,1,1,0.73,0.73,1.3,0.79,0.88,1.3,1,0.32,0.61,0.92,1,1.1,1,1,1,0.57,1.4,1
"C4BPAP1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C4BPB",0.68,1,1.1,0.9,0.57,0.93,0.85,0.94,1.7,1.1,8.6,1.2,1.9,1.6,1.1,0.86,0.84,1.4,1.1,1,1.1,0.98,2.4,0.76,0.78,1,0.92,5.6e+08,0.88,0.49,0.93,0.87,1
"C5",2.2,1.1,0.94,0.88,1.3,1.4,1.3,0.8,1.3,0.82,4.1,0.99,1.6,1.3,1.5,0.81,1,1.2,0.8,1,0.88,5.3,2.6,1.2,0.76,0.74,1.6,1.3,0.7,2.4,0.76,0.89,1.4
"C5AR1",1.6,1.1,1.2,0.6,1.3,1.4,0.46,1.7,1.2,1.2,0.85,1,1.1,1.1,1.2,1.3,1.2,1.3,1.4,1.1,0.84,0.54,1,1.6,1,0.84,1.5,5e+08,1.8,2,1.3,0.87,1.6
"C5AR2",1.1,1.2,0.92,1,0.36,1.3,1.8,1.2,1.2,0.93,2.5,0.61,0.85,0.85,1.5,1.4,1.1,1.1,1.1,1.2,1.2,0.92,1.5,1.3,0.75,0.7,1.2,6.2e+08,2.4,6.8,0.4,1.2,2.4
"C6",0.29,0.95,0.84,1,1.7,1.2,1.7,1.2,0.88,1,0.68,0.7,0.78,1,1.1,0.67,0.89,1.2,0.85,0.9,1.1,0.62,0.14,1.6,0.85,0.94,1.6,1.4,2.9,0.32,1,1.4,1
"C7",0.39,1.5,0.87,1,0.59,1.5,2.2,0.97,0.99,0.91,1.3,0.93,1.8,0.74,1.1,0.68,0.76,1.2,0.7,1.1,0.92,0.65,0.13,0.75,0.82,0.7,1.4,1,1.3,0.51,1.5,1,1.2
"C8A",1,1,1,1,1.7,1,1,1,1,1,1,1,1,1,1,0.72,0.81,1,1,1,1,1,1,1,1,1,1.2,1,0.95,1,0.77,1,1
"C8B",1,1,1,1,1.3,1,1,1,1,1,1,1,1,1,1,0.54,0.72,1.3,1,1,1.3,1,1,1,1,1,1,0.51,2.1,1,1.3,1,1
"C8G",1.4,0.84,0.86,0.52,1,0.99,0.39,0.83,0.95,0.86,0.1,1.3,1.3,1.1,1.1,0.89,1.1,0.98,1.9,0.96,0.8,2.1,0.72,0.83,0.69,0.93,1,1,1.6,8.5,1.1,1.4,3.5
"C9",3.8,1.1,1,1.6,1.8,1.4,1,0.72,1,1.1,0.71,1.1,1,1,1,0.93,1.1,0.95,0.81,1,1.2,1,1.7,0.67,1.1,1.1,1.4,1,0.8,1.1,1,0.81,1
"CA1",2,1,1,1,1,0.92,1,0.81,1.2,1,5.6,0.81,1.1,1.1,1.2,0.78,0.88,0.98,1.1,1.1,1.4,0.19,1,0.57,1,1,0.97,9.7e+08,1.4,4.3,1.6,0.69,1
"CA10",1,1,1,1.3,1.7,1,1,1.2,1,1,1.3,0.93,1.4,1,0.51,1,0.62,1.1,1,1,0.68,0.25,1.7,0.91,0.9,1,1.4,1.3,1.6,0.99,0.75,0.78,1
"CA11",1.2,0.86,1,1,1.5,1.7,2.8,1.1,1.3,0.85,0.25,1.1,0.85,0.88,0.69,1,0.77,0.73,1.3,1,0.54,0.95,0.42,2.3,0.85,0.77,1.1,0.34,0.49,1.2,0.92,1.2,1.4
"CA12",1.9,0.87,1.1,1.4,1.9,0.68,0.68,0.97,1.3,1.2,0.81,0.86,1.3,1,1.7,1.3,1.2,0.95,1.2,1.1,2.1,1.5,1.6,0.94,0.9,0.71,0.98,5.8e+08,1.1,1,1.1,1.5,1
"CA13",1.3,1,0.98,1.2,0.94,1.3,1.7,0.71,1.4,0.92,4.1,1,1.3,1,1,1,1.1,0.9,0.76,0.96,1.2,2.4,0.99,1.4,0.92,0.72,0.91,0.54,0.75,5.9,0.95,0.91,1.7
"CA14",1.5,1.1,1.1,1.1,1.6,0.87,1,0.82,0.53,0.89,0.79,0.6,0.96,1.4,1.6,0.84,0.91,1,1,0.85,1.4,6.7e+08,0.53,1.6,0.99,1.5,0.9,2.9,1.6,3.3,0.55,0.76,2.7
"CA15P1",1,1,1,1,2.2,1,1,1.2,1,1,1.4,1,1,0.88,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1
"CA2",3.1,1.3,0.89,1.5,0.88,0.63,1.6,1,1.1,0.94,1,1,1.6,0.91,1,0.94,1.3,0.96,1.5,1.2,1.1,0.84,1.2,0.88,1.4,1,1,0.43,2.2,6.6,1.1,1.5,2.5
"CA3",0.71,1.1,0.73,0.88,0.86,1.4,1.3,0.66,1.1,1.2,4.1,1,0.71,2.6,1,0.77,0.78,1.1,1,0.94,0.67,0.29,1,1.2,0.79,0.86,1.1,0.43,0.59,2.5,1.2,0.68,1.3
"CA4",1.5,0.98,0.94,0.89,0.98,0.65,0.75,1.7,0.92,1,0.5,1,0.9,0.87,0.61,0.83,0.63,1.2,1.1,1.2,0.96,0.98,0.27,0.85,0.79,1.3,1.4,2.2,0.83,1.4,1.3,1.2,0.31
"CA5A",1,1,1,1,0.83,1,0.85,1,0.98,1,1,1,1.4,1,1.2,0.71,0.82,1,1,1,1.4,1,1,1,1,1,1,1,1,0.7,1,1,1
"CA5B",0.77,1.2,1.4,0.91,0.95,1.1,1.8,0.84,1.2,0.74,0.74,1,1.6,1.1,1.6,1.2,0.73,1.1,1.4,0.79,0.98,0.57,1.5,0.62,0.9,0.83,1.1,0.42,1.5,2.9,0.86,1,1
"CA5BP1",1.4,0.95,1.3,1.2,0.84,1,1.3,1.3,1.2,0.89,1.9,1,1.3,1.2,1,1.6,1.2,0.89,1.8,0.75,0.97,0.62,8.3,1.2,1.3,1.1,0.92,1,1.5,3.8,0.94,0.67,0.35
"CA6",1,1,1,0.94,1,1,1,1.4,1,0.98,1,1,1,0.93,1,1,0.85,0.92,1,1,1,1,1,1.1,1,0.63,1,0.35,1,0.24,1.2,1,1
"CA7",1.7,1.4,0.77,1.7,1,1,1,1.4,0.91,0.98,1.2,1,1,0.68,1,1,1.1,0.87,0.87,1.1,1.2,1.1,0.48,0.52,1,0.77,1.2,0.73,0.34,0.4,1.5,1.4,2.3
"CA8",0.53,1.2,0.87,1.3,1.3,0.81,1.1,0.9,0.76,0.96,0.47,0.67,1.3,0.87,0.97,0.75,1.1,0.96,0.98,0.92,0.79,0.95,0.47,1.3,1.1,1,1,0.94,1.1,0.8,0.43,1.1,4.6
"CA9",0.92,0.86,1.2,1.5,1.6,1.2,0.6,0.92,1.3,1.2,1.4,0.76,2.4,0.92,0.91,1.7,1.7,1,0.93,0.9,1.7,5.7,1.3,1,1.4,1.3,0.92,0.24,2.6,1,1.1,1.1,0.5
"CAAP1",2,0.94,0.97,1.5,0.98,0.65,1.3,0.88,0.84,1.1,1.5,1,0.93,1.6,1.2,1.3,1.1,0.88,0.55,0.75,1.1,3.6,1.3,0.28,0.96,0.73,1.1,2.9,1.8,0.78,0.52,1.8,1.3
"CAB39",1.5,1.1,1.4,1.2,0.96,1.1,2.3,1.1,1.1,1.1,1.9,1,1.3,1.7,1.3,1.2,1.2,1.3,0.87,1.2,1.5,1.1,1.1,1.8,0.9,1.1,1.2,0.53,0.78,2.5,0.62,1.1,1.5
"CAB39L",0.53,0.8,1.3,1.3,1.6,0.76,0.75,0.91,1.1,1.1,0.78,1,0.56,0.88,0.84,1.1,0.83,1.2,0.83,1.2,0.96,2.2,0.93,0.68,0.61,0.83,1.1,0.43,1.7,1.7,1.2,1.1,2.5
"CAB39P1",1,1,1,1,1.1,1,1,0.87,1,1,1.9,1,1,0.69,1,1,1,1,1,1,1,1,1,1,1,1,0.84,1,1,1,1,1,1
"CABIN1",2,0.89,1,0.64,1.8,0.86,2.4,0.68,0.98,1.1,2.3,1.3,0.75,1.4,0.83,1.3,0.86,1.1,1.1,1,0.54,1,0.76,0.84,0.79,1.1,1,0.44,1.1,0.19,0.32,0.81,2.3
"CABLES1",2.1,1.1,0.98,0.75,0.64,0.69,0.33,0.83,0.99,0.71,3.5,1,0.56,1,0.57,1.5,0.77,1.1,1.5,1.1,1.3,0.63,1.5,1.4,1.1,1.5,0.94,0.3,1.9,2.6,0.76,0.89,0.94
"CABLES2",1,1,1.3,0.68,0.7,0.82,1.2,1.4,1.6,0.96,4.1,1.1,2.1,1.7,1.8,1.1,0.97,0.9,1.5,1,0.79,7.1e+08,1.3,0.73,1.3,1,0.99,3,0.94,0.37,1.4,0.72,0.64
"CABP1",1,1.2,1.1,1.1,1.2,1.6,1.1,1,1.2,0.97,0.43,0.62,0.45,0.99,0.55,1.2,1.1,0.97,1.4,1.1,0.66,0.64,0.51,1,1,1,1.4,3,0.26,1.4,1.7,0.65,1.8
"CABP4",0.79,0.83,0.92,1.2,1.1,1,1.8,0.77,1.2,0.84,1.1,1.2,0.72,1.2,1,1.7,1,1.2,1.5,1.4,1.6,1.8,1.2,0.55,0.82,0.81,1.1,6e+08,1.2,1.5,0.61,1.4,2.9
"CABP5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5
"CABP7",2.9,1,1.1,0.89,0.66,1.1,3.3,0.78,1.1,0.65,0.4,1,0.98,1.1,1.3,1.4,1,0.78,1.4,1.2,0.87,1.8,0.93,0.9,1.4,0.91,1.3,0.34,0.91,0.37,1.5,2.5,2.8
"CABS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.72,1,1,1,1,1
"CABYR",1.7,0.99,0.93,1.1,0.85,1.3,0.96,1.3,1.3,1.2,1.7,1.5,0.67,1.3,0.97,1.3,1.2,1,1,0.95,0.72,1.8,0.67,1.1,0.9,1.1,1.3,0.43,1.2,0.34,1.4,1,3.4
"CACFD1",1.4,0.94,1.3,0.95,0.83,0.99,2.4,1.2,0.94,0.9,0.25,0.65,0.52,0.9,1.1,1.6,0.77,1.2,0.75,1.1,0.62,0.45,6.4,1.1,1,1.5,0.94,0.76,0.68,1.2,1.1,1.3,0.8
"CACHD1",1.8,1.1,0.82,0.9,2.3,1.3,0.76,0.94,1,1,1,0.63,2.3,1.6,1.3,1.3,0.78,1,0.43,1.1,0.87,2.5,0.94,1.7,1.3,0.99,1.2,2.2,1.4,1.1,0.72,0.56,1.8
"CACNA1A",1.1,0.98,0.96,0.74,0.3,1.1,5.9,1.1,1,0.81,4.5,1.3,1.4,1.4,0.67,0.84,1.2,1,1.8,0.91,0.58,4.4,1,1.6,1.2,1,1,2.2,1.3,0.55,1.4,1.4,1.2
"CACNA1B",2.6,1.2,1.5,1.7,0.64,1.2,1,0.92,0.87,0.78,1,1,1,1,0.71,1,1.1,0.89,1.7,1,0.47,0.69,0.39,0.71,0.82,1.6,1.3,1,1.9,0.52,3,0.95,2
"CACNA1C",2,1.3,1,1.3,0.94,0.82,1.9,0.89,1.2,0.93,1.3,0.74,2.8,0.79,1,0.8,0.91,1.4,2,1.5,1,1.1,0.31,0.87,1,1.2,1.2,6.1e+08,2,0.7,1.6,0.46,3.1
"CACNA1D",1.3,0.76,0.74,0.66,0.75,0.72,0.92,1.2,1,0.78,1.2,0.68,0.45,0.99,0.73,0.9,0.72,1,1.2,1.1,0.61,0.23,0.65,0.39,1.3,1,0.98,1,1.8,3.3,0.99,1.2,2.2
"CACNA1E",2.8,1.1,0.75,1.1,0.96,0.89,2.1,0.9,1,0.84,1,1,1.7,0.87,0.58,1.3,1.1,0.87,0.78,0.87,1.5,5.2,1,0.61,0.77,0.9,1.2,0.42,3.4e+08,3,0.91,1.2,1
"CACNA1F",0.85,0.83,0.86,0.89,0.94,1.8,1.9,1.2,1.3,0.92,0.49,1.1,1.5,1.5,1.1,1,0.76,1.1,0.95,0.93,1.1,1.9,1.4,0.41,0.63,0.7,0.86,4.8e+08,1.5,0.27,0.62,0.9,1.7
"CACNA1G",1.9,0.99,0.91,0.96,0.66,0.59,0.22,1.1,1.1,0.88,1,1.3,2.9,1.2,1.2,1,0.82,1.3,1.6,1.2,0.92,0.22,1,0.88,0.89,1.5,1.2,0.36,2.9,0.62,1.2,0.52,1.3
"CACNA1H",1.1,1.2,1.6,1.1,0.88,1.3,1.3,1.3,1.4,1.1,0.6,1.1,1.4,0.97,0.67,0.85,1.2,1.2,1.2,1.1,1,0.18,0.28,1.1,0.81,1.2,1.4,2.2,1.8,1.9,0.71,1,1.5
"CACNA1I",1.5,0.69,0.88,0.9,0.61,0.86,0.54,0.87,1.4,0.86,1.7,1.1,0.99,1.4,0.61,0.88,1,1.1,1.1,1.4,0.7,0.84,2.3,1.4,1.2,0.61,1.4,0.55,0.36,0.48,1.4,0.99,4.8
"CACNA1S",1,1,1,1,0.28,0.76,1,1.5,0.98,1.6,1,0.57,1,1,0.95,1.2,0.82,1,1,1,0.56,1.2,1,0.43,1,1,1.6,4,1,1,1,1.3,1
"CACNA2D1",1.8,1.7,0.69,1,0.99,1.3,1.3,1.2,1.1,0.77,0.88,0.73,1.6,0.83,0.72,0.79,0.9,0.97,1.5,0.96,0.67,0.48,0.5,1.4,0.98,1,1.5,0.69,0.82,0.75,0.8,0.76,2.6
"CACNA2D2",1.4,1.3,0.93,1.2,0.86,0.68,1.1,1.1,0.81,0.8,0.22,0.73,0.71,0.9,1,0.69,0.63,1.2,0.88,0.86,0.64,2.4,2.7,0.58,1,0.85,1.1,1.4,1.4,1.8,2,1.1,1.5
"CACNA2D3",0.44,1.2,1.1,0.65,0.55,1.4,1.2,0.92,1.2,0.71,0.59,1.1,0.57,0.98,0.56,0.99,0.72,0.86,0.82,0.84,0.71,2.7,2.1,1.5,0.77,1.2,1.3,0.49,1.5,1.2,1.1,0.85,0.61
"CACNA2D4",0.79,1.1,0.79,0.77,0.45,1.5,0.87,1.3,1.3,0.74,0.56,1.2,0.71,0.84,1.8,1.2,1.1,1.1,0.82,1.3,1.2,5.6,0.99,0.74,0.95,0.69,0.99,5.6e+08,1.7,1,0.52,1,2.6
"CACNB1",3.3,0.85,0.84,0.88,0.96,1.4,1.8,0.77,1.3,1.3,1.1,1.7,1.7,1.3,0.78,1.3,0.69,0.95,2,1.4,0.82,1.4,1.1,0.95,1.1,0.93,1.1,4.4,0.33,0.29,1.8,0.73,3.9
"CACNB2",3.5,0.96,0.95,0.99,1.4,0.85,2.2,0.72,1.4,0.72,0.96,0.71,0.54,1.4,0.92,1,0.95,0.96,0.58,1.1,1,1.1,1.5,1.9,0.82,0.97,1.4,0.33,1.1,1.7,0.99,0.84,1.3
"CACNB3",3.6,0.81,1.3,1.2,1.1,1,1.5,0.87,1.4,0.84,1.5,1.4,0.96,1.4,1.3,0.99,0.87,0.91,2.3,1.1,1.4,0.66,0.76,1.8,0.93,1.4,1.3,0.57,1.7,0.096,1.5,1.1,1.3
"CACNB4",2,0.99,1.2,0.99,0.59,0.68,0.28,0.96,0.95,0.84,2.2,1.3,0.94,0.6,0.93,0.84,0.84,0.9,1.3,1.2,0.62,2.2,0.9,1.3,0.64,0.84,1.6,0.33,2.7,0.78,1.1,0.94,3.1
"CACNG1",1,1,1.1,0.62,0.84,1,1,1.1,0.89,1.4,1,1,1,0.88,0.71,1,0.81,1.2,0.78,1.2,0.97,0.24,0.81,1,1.4,1,1.1,1.7,1,1,1.1,1.1,1
"CACNG2",2.3,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1.1,1,1,1
"CACNG3",1,1,1,1,1,1,1.7,1,1.3,1,1,1,1,1,0.73,1,1,1,1,1,0.95,0.51,1,1,1,1,1,4.7e+08,1,1,1,1,1
"CACNG4",1.1,1.1,1.1,1.1,0.53,1.6,0.37,0.98,1.2,1.5,1,1.7,1.3,0.96,0.55,1.1,0.87,1.3,1,1.1,0.95,0.64,0.65,1.5,0.76,1.1,1.4,2.3,0.52,2.9e+08,1.6,0.95,5.7
"CACNG5",1,1,1,1,1,1,0.64,1,1.2,1,1,1.2,1,1,1,1,1,1,1,0.87,1.1,1.9,1,1,1,1,1,1.1,1,1,1,0.96,3.7
"CACNG6",1,1,0.92,0.83,0.88,1,1,1.6,0.98,1.3,1,1.4,1,1,0.88,1,1,1.1,1.8,1.2,0.87,0.82,0.47,1,1,1,1.2,1,1,1,0.87,1.5,1
"CACNG7",1,1,1,1,1,1,1,1,0.98,1.2,1,1,1,1,0.69,1,1,1,1,1,0.89,2,1,1,1.2,1,0.99,1.1,1,1,1.7,1.4,1
"CACNG8",2.4,1.1,1.3,1.3,0.81,1.1,0.62,1.8,1,1.4,2.1,0.94,2.2,0.96,0.86,1.2,1,1.4,1.3,1,0.74,1.1,1.4,0.3,1.6,1.2,0.96,2.3,1.8,0.96,1.6,1.1,0.4
"CACTIN",3.3,0.92,1.3,0.73,1.1,1.5,0.82,0.99,1,0.81,0.99,0.96,1.2,1.8,1.7,1.1,0.91,0.83,2.5,1.3,0.7,0.55,3.5,1.3,0.84,1.2,0.77,1,1.1,1.1,0.6,0.89,1
"CACUL1",2.3,0.97,1.2,0.79,0.63,1.2,1.1,0.85,0.99,1,0.95,0.72,1.4,0.78,0.7,1.7,0.96,1.3,1.1,0.99,2,2.2,1.4,0.86,1.1,0.98,1,0.45,1.6,0.91,0.71,1.2,1.8
"CACYBP",3.2,1.4,1.4,1.7,0.7,0.91,1.3,0.71,1,1.1,4.3,0.63,2,1.2,1,1.3,1.7,0.91,1.2,0.91,1.1,4.4,1.4,1,1.4,1,0.87,1.1,1.7,1.3,0.85,1,1.3
"CACYBPP1",1,1,1,1,1,1,1,1.6,1,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1
"CACYBPP2",1.4,0.92,1.4,0.55,0.87,0.85,1.2,0.94,0.84,1.1,2.1,0.83,1.4,1.3,1.2,1.7,1.2,0.72,1.8,0.98,2,1.2,0.75,0.6,1.2,0.93,1.1,0.33,0.35,1.4,1.2,1.9,3.7
"CACYBPP3",1,1,1,1,1,1,1,1,1,1,1,1,1,0.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CAD",3.7,1.4,0.87,0.93,1.6,1.1,1.7,0.8,1.2,1.1,0.5,1.7,2.2,1.8,1.4,1.9,1.3,0.76,2.1,0.91,1,4.9,3,0.85,1.4,1.3,0.99,1.9,1,0.61,1.3,0.64,2.4
"CADM1",2.3,1,1.1,1.1,1.4,1.1,0.87,0.84,1.4,0.9,0.75,0.88,1.1,1.6,1.4,0.65,0.78,0.87,0.9,1.1,0.62,1.2,0.75,2,0.85,0.8,1.4,2.9,1.2,2.9,0.56,0.84,1
"CADM2",1,1.3,1,1,1,1.2,1,0.89,0.89,1.2,1,0.97,1,1,0.59,1.5,1.2,1,1.9,1.1,0.97,0.62,1.2,1.7,1.1,1.2,1.7,1,2.5,0.36,1.5,1.2,0.74
"CADM3",2,1.5,0.78,0.72,0.58,1.5,2,1,1.2,1.1,9,1.2,0.98,1.2,1.1,0.97,0.8,1.5,1.1,1.1,0.9,1.1,0.31,1.2,0.67,0.77,1.1,0.43,1.1,0.67,1.1,1.7,1.7
"CADM4",0.79,0.99,0.98,0.94,1.8,0.97,1.3,0.94,0.86,0.95,1.6,1.3,0.6,0.94,1.4,1.2,0.97,0.85,1.6,1.1,0.55,0.67,1.2,1.1,1.1,0.85,1.1,0.35,1.2,1.3,0.78,1.1,1.7
"CADPS",0.64,1.3,1.4,0.77,1.1,0.97,0.41,0.99,0.86,1,0.61,0.79,1.1,1,0.59,0.91,0.74,0.85,1.8,0.96,0.6,1,1.3,0.86,1.1,0.99,1.2,2.2,4.3,2.1,1.2,0.98,0.67
"CADPS2",0.93,1.2,1,0.83,1,0.72,1.1,0.94,1.6,0.86,1.2,1,0.66,0.93,1.5,1.3,0.95,1.1,0.62,0.81,1.2,0.25,1.1,1.4,0.79,0.82,0.92,1.3,2.2,9.3e+08,0.91,1.1,0.37
"CAGE1",1,1,1.2,1.4,1.4,0.82,1.4,0.84,0.84,1.1,1.3,1,0.94,1,1.4,1.5,1.3,0.81,0.74,0.96,0.78,2.7,0.86,1.1,1.2,0.93,0.82,0.73,1.8,0.79,0.96,1,1
"CAHM",3.8,0.85,0.83,1.1,1.2,1.2,0.41,0.94,1.1,0.85,0.3,1.7,0.7,1.1,0.78,1.3,0.79,0.94,0.85,1,0.52,0.46,0.37,1.2,1.2,1.1,1.5,1.1,0.57,0.72,1.8,0.53,0.74
"CALB1",0.72,1,0.94,0.85,0.8,1.5,3.8,1,1.2,0.84,0.84,0.97,1.2,1,0.74,1,1.2,0.84,1.2,1.3,0.91,1.4,1.3,0.57,1,0.86,1.3,2.2,2.3,0.98,1.6,2.1,1.7
"CALB2",0.23,1.3,0.9,1.3,1.7,2.1,0.52,0.77,1.2,0.96,0.76,1.4,1.1,1,0.83,0.99,1.1,1.1,0.43,1.1,1.7,0.51,0.34,0.98,1,1.2,1.2,1,0.62,1.8,2.2,1.3,1.9
"CALCA",1,1,1,1,2.4,0.96,1,1,1.3,1,1.1,1,0.88,1.5,1,0.89,1.1,1,1,1.2,0.77,0.95,0.3,0.48,1.1,1,1.4,1,0.42,1,1.3,1,1
"CALCB",1,1.1,1.2,1.1,1.4,1.1,5.1,1.2,1,1.1,1.8,0.91,2.8,0.89,1,0.91,1.1,0.93,1.4,0.95,0.93,0.97,1.1,1,1,0.88,1.2,1.3,1.1,0.64,1.2,0.88,1
"CALCOCO1",0.72,1,1.3,0.77,0.94,1.3,3.9,1.1,1,0.94,3.1,0.58,0.83,1.3,0.79,1.1,0.92,1.1,0.49,1.3,0.73,5.3,1.5,0.57,0.67,0.97,1.1,1.3,0.57,0.6,0.82,0.79,0.41
"CALCOCO2",1.2,1.1,1.1,1.6,0.54,0.68,2.3,1,1,1,2.2,1,1.2,1,1,1,1.2,1.1,0.77,1.3,1.1,0.96,1.9,0.37,0.83,0.71,1,2,1,1.4,1.5,1.1,0.62
"CALCR",0.71,1.3,0.97,1.2,0.69,1,1.4,0.69,0.88,0.99,0.65,0.78,1.6,1,0.78,1.3,1.2,1.1,0.69,1.1,0.85,0.74,0.52,1.8,0.83,0.78,1.7,2.2,0.41,0.9,1,1.3,3.6
"CALCRL",1,1.4,1.1,1.4,0.83,1.4,1.1,1.3,0.77,0.85,1,1,1.9,2.6,1,0.78,0.86,1.2,1.6,1,1.1,0.52,0.57,1.3,0.95,1.1,1.2,3.1,1.4,0.25,1.6,1,2.3
"CALD1",0.85,1.6,0.94,1.4,0.64,1.5,0.95,1.1,1.3,1.1,1.8,1,1.2,1.2,2,1.2,1.3,1.4,1.8,0.98,1.1,0.49,0.6,1.1,0.76,0.88,1.4,5.1e+08,1.4,1,0.89,1,1
"CALHM1",0.6,0.85,0.97,1,0.62,1,4.3e+08,0.99,1.6,0.84,1,1.3,1,1.1,0.91,1,0.73,1,1.1,0.99,0.95,0.48,0.53,1,1.1,0.59,1.1,1.6,0.92,0.75,1.1,0.8,1
"CALHM2",0.97,1.1,1.1,1.1,0.55,1.1,2,0.85,1.3,0.94,1.3,0.83,1.5,2.3,2,0.83,0.83,1.2,1.5,1.3,1.3,1.1,0.91,1.3,0.91,0.87,1.2,4.5,2,2,1.2,0.8,1
"CALHM3",1.2,1.1,0.86,1.1,3.4,1.1,10,1.5,1,0.96,1,1,1,1,0.71,1,1.1,1.1,1.2,1.3,1.3,2.2,1,0.84,1.3,1,0.97,0.49,1,1.9,1.2,0.77,1
"CALM1",1.6,1.7,1.3,1.2,0.56,0.76,0.96,1.2,1.3,1.6,2.1,0.57,1,1.3,1.2,1.7,1.2,0.95,1.5,0.77,1.1,0.66,1.1,0.9,0.73,0.9,1,1,1.5,0.41,1.6,0.85,4.4
"CALM1P2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1
"CALM2",1,1,1.5,0.87,0.8,0.9,1.8,1.3,1,1.2,4.1,0.74,1,1.6,1.5,1.6,1.1,0.8,1.3,0.94,1.9,0.56,1.6,1.3,1.2,0.98,1.3,0.36,0.44,0.31,1.6,1.4,2.9
"CALM2P2",1.9,1,0.97,1.2,0.46,0.89,2.3,1.3,0.82,0.84,0.46,0.87,1.2,1.3,0.98,1.2,0.93,0.98,1,1.2,1.5,2.6,2.2,0.68,1.5,0.91,0.87,2.4,1.1,0.92,0.98,0.72,0.85
"CALM2P3",1,1,1,1,1,1,1,0.88,0.99,1,1,1,1,0.84,1,1,1,1,1,1,1,0.88,1,1,1,1,0.95,1,1,1,1,1,1
"CALM3",1.4,1.1,1.1,1.6,0.44,0.78,0.9,1.2,1,1.2,0.41,1,0.75,1.2,0.59,1.2,1.4,1.2,1.9,1.2,0.91,2.3,1.8,1.7,1.1,1.5,1.1,1.2,0.65,0.14,1.4,0.56,1
"CALML3",1,1,0.65,0.59,1,1,1,0.99,1,0.89,1,1.1,0.74,1,0.62,1.1,1.1,0.94,0.92,1.4,0.74,1,0.86,0.63,1,1.4,1,1,0.46,1.8,0.96,0.69,1
"CALML4",3.7,0.95,1.2,1,0.81,0.9,1.5,0.94,1.1,0.86,2.2,0.77,0.93,0.74,1,1.3,1,0.87,0.62,1,1.3,0.41,0.55,0.52,0.71,0.8,0.65,2.8,1.2,4.4,0.55,0.69,2
