"Gene","ACC_survival_p","BLCA_survival_p","BRCA_survival_p","CESC_survival_p","CHOL_survival_p","COAD_survival_p","DLBC_survival_p","ESCA_survival_p","GBM_survival_p","HNSC_survival_p","KICH_survival_p","KIRC_survival_p","KIRP_survival_p","LAML_survival_p","LGG_survival_p","LIHC_survival_p","LUAD_survival_p","LUSC_survival_p","MESO_survival_p","OV_survival_p","PAAD_survival_p","PCPG_survival_p","PRAD_survival_p","READ_survival_p","SARC_survival_p","SKCM_survival_p","STAD_survival_p","TGCT_survival_p","THCA_survival_p","THYM_survival_p","UCEC_survival_p","UCS_survival_p","UVM_survival_p"
"CLSTN1",1,0.52,0.0042,0.46,0.82,0.17,0.33,0.99,0.54,0.78,0.95,1,0.084,0.2,0.35,0.013,0.075,0.85,0.5,0.35,0.16,0.58,0.4,0.39,0.3,0.19,0.36,0.39,0.21,0.56,0.29,0.64,0.21
"CLSTN2",0.024,1,0.46,0.089,0.23,0.98,0.27,0.56,0.55,0.54,0.71,0.32,0.56,0.08,0.028,0.47,0.43,0.7,0.039,0.39,0.47,0.11,0.78,0.15,0.21,0.73,0.058,0.47,0.002,0.91,0.12,0.56,0.47
"CLSTN3",0.0047,0.57,0.58,0.11,0.42,0.11,0.7,0.86,0.32,0.069,0.96,0.13,0.73,0.0085,0.92,0.49,0.47,0.13,0.51,0.69,0.0026,0.88,1,0.67,0.53,0.053,0.031,0.046,0.14,0.33,0.79,0.63,0.00094
"CLTA",0.0012,0.72,0.1,0.25,0.9,0.64,0.0063,0.091,0.99,0.19,0.11,0.0051,0.64,0.072,0.11,1,0.19,0.93,0.89,0.029,0.68,0.45,0.78,0.6,0.65,0.55,0.3,0.77,0.42,0.67,0.019,0.14,0.76
"CLTB",0.5,0.0099,0.48,0.34,0.63,0.99,0.52,0.29,0.18,0.13,0.67,0.045,0.46,0.081,0.18,0.015,0.08,0.92,0.0067,0.25,0.046,0.99,0.81,0.87,0.0069,0.23,0.16,0.36,0.29,0.26,0.093,0.93,0.16
"CLTC",0.026,0.16,0.69,0.052,0.62,0.015,0.97,0.71,0.46,0.015,0.0074,0.058,0.48,0.03,0.84,0.0011,0.87,0.2,0.07,0.54,0.86,0.92,0.57,0.14,0.35,0.73,0.83,0.8,0.38,0.85,0.95,0.17,0.072
"CLTCL1",0.0097,0.63,0.16,0.06,0.31,0.021,0.88,0.89,0.85,0.012,0.01,0.23,0.03,0.022,1,0.39,0.0086,0.43,0.0022,0.036,0.29,0.31,0.24,0.27,0.36,0.91,0.0063,0.34,0.89,0.41,0.082,0.49,0.59
"CLU",0.087,0.57,0.071,0.29,0.88,0.48,0.17,0.16,0.71,0.87,0.06,0.014,0.97,0.93,0.00025,0.034,0.23,0.16,0.36,0.55,0.039,0.71,0.33,0.19,0.018,0.057,0.24,0.98,0.013,0.75,0.9,0.24,0.71
"CLUAP1",0.57,0.11,0.77,0.57,0.62,0.69,0.28,0.43,0.93,0.64,0.22,1,0.91,0.28,0.28,0.24,0.2,0.13,0.71,0.49,0.17,0.83,0.4,0.2,0.88,0.14,0.19,0.64,0.65,0.89,0.0034,0.57,0.74
"CLUH",0.5,0.73,0.045,0.85,0.14,0.46,0.68,0.2,0.64,0.97,0.21,0.018,0.33,0.096,0.029,0.95,0.28,0.23,0.49,0.01,0.36,0.84,0.0064,0.093,0.45,0.0022,0.15,0.21,0.006,0.34,0.26,0.68,0.0078
"CLUHP3",0.35,0.28,0.47,0.85,0.74,0.17,0.21,0.53,0.26,0.018,0.35,0.0019,0.24,0.59,0.82,1,0.038,0.53,0.063,0.29,0.0044,0.27,0.093,0.00016,0.43,0.23,0.46,0.58,0.52,0.99,0.85,0.92,0.039
"CLUHP6",1,1,1,1,1,1,1,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.61,1,1,1,1,1,1
"CLUL1",0.3,0.47,0.5,0.75,0.25,0.52,0.72,0.61,0.23,0.13,0.83,0.58,0.28,0.39,0.4,0.053,0.039,0.91,0.41,0.084,0.25,0.72,0.047,0.98,0.3,0.18,0.75,0.42,0.15,0.19,0.72,0.0049,0.71
"CLVS1",0.67,0.64,0.21,0.03,0.26,0.85,0.081,0.35,0.51,0.46,0.25,0.0018,0.3,0.89,0.012,0.78,0.029,0.097,0.65,0.045,0.067,1,0.94,0.065,0.72,1,0.44,0.89,0.56,0.84,0.29,0.92,0.023
"CLVS2",1,1,1,1,1,1,1,1,0.31,1,1,1,1,1,0.028,1,1,1,1,1,0.59,0.77,0.38,0.075,0.95,1,1,0.14,1,1,1,0.54,1
"CLYBL",0.25,0.69,0.57,0.51,0.58,0.28,0.5,0.74,0.93,0.16,0.67,1,0.017,0.0059,0.14,0.04,0.36,0.76,0.042,0.13,0.87,0.5,0.87,0.26,0.25,0.97,0.65,0.32,0.91,0.25,0.71,0.6,1
"CMA1",1,0.0071,0.25,0.0098,1,0.64,0.59,0.55,1,0.054,0.74,1,0.28,0.92,1,0.14,0.05,0.64,0.82,0.59,0.15,1,0.32,0.3,0.00061,0.56,0.064,0.23,0.83,0.98,1,0.037,1
"CMAHP",0.055,0.016,0.31,0.041,0.2,0.79,0.65,0.93,0.07,0.026,0.9,0.83,0.62,0.13,1,0.94,0.0013,0.78,0.012,0.76,0.57,0.18,0.38,0.52,0.11,1,0.17,0.075,0.26,0.049,0.1,0.066,0.27
"CMAS",0.98,0.16,0.05,0.081,0.49,0.75,0.27,0.25,0.55,0.57,0.74,0.63,0.3,0.84,0.024,0.06,0.0018,0.074,0.97,0.34,0.57,0.33,0.69,0.48,0.75,0.44,0.75,0.071,0.94,0.37,0.36,0.23,0.41
"CMBL",0.34,0.09,0.52,0.69,0.18,0.72,0.085,0.54,0.47,0.61,0.58,1,0.11,0.53,0.44,0.61,0.066,0.12,0.15,0.057,0.2,0.079,0.19,0.23,0.57,0.63,0.63,0.49,0.69,0.24,0.73,0.44,0.26
"CMC1",0.31,0.11,0.99,0.45,0.77,0.061,0.59,0.61,0.53,0.34,0.076,0.22,0.99,0.51,0.00088,0.0065,0.0064,0.78,0.88,0.0078,0.26,0.65,0.81,0.083,0.43,0.04,0.7,0.47,0.92,0.95,0.74,0.93,0.8
"CMC2",0.14,0.93,0.08,0.68,0.17,0.42,0.46,0.95,0.71,0.081,0.43,0.58,0.15,0.0012,0.0013,0.072,0.0082,0.5,0.0022,0.05,0.46,0.85,0.44,0.23,0.91,0.49,0.54,0.46,0.74,0.007,0.066,0.42,0.25
"CMC4",0.34,0.34,0.16,0.033,0.3,0.7,0.71,0.74,0.56,0.9,0.036,0.23,0.74,0.36,0.24,0.077,0.8,0.062,0.18,0.4,0.0031,0.58,0.46,0.095,0.47,0.2,0.74,0.082,0.42,0.15,0.33,0.88,0.92
"CMIP",0.36,0.44,0.87,0.59,0.19,0.55,0.3,0.8,0.83,0.33,0.028,0.46,0.69,0.57,0.64,0.086,0.24,0.056,0.01,0.89,0.12,0.56,0.52,0.29,0.67,0.84,0.67,0.76,0.0023,0.24,0.94,0.75,0.17
"CMKLR1",0.68,0.36,0.66,0.098,0.056,0.85,0.23,0.15,0.43,0.088,0.35,0.019,0.98,0.051,0.16,0.87,0.049,0.54,0.78,0.7,0.47,0.42,0.36,0.81,0.11,0.0024,0.95,0.022,0.68,0.021,0.4,0.5,0.036
"CMPK1",0.063,0.85,0.19,0.37,0.23,0.083,0.064,0.94,0.018,0.21,0.048,0.0017,0.59,0.39,0.005,0.71,0.46,0.27,0.015,0.77,0.31,0.59,0.51,0.18,0.12,0.73,0.14,0.79,0.0036,0.28,0.9,0.55,0.85
"CMPK2",0.76,0.66,0.45,0.33,0.3,0.69,0.68,0.92,0.4,0.74,0.094,0.047,0.37,0.58,0.00098,0.61,0.21,0.037,0.027,0.18,0.38,0.17,0.14,0.46,0.099,1,0.98,0.045,0.91,0.17,0.2,0.095,1
"CMSS1",0.67,0.12,0.4,0.75,0.92,0.81,0.31,0.41,0.16,0.05,0.0024,0.11,0.38,0.068,0.0022,1,0.31,0.81,0.036,0.48,0.11,0.25,0.065,0.49,0.049,0.52,0.39,0.33,0.43,0.48,0.32,0.28,0.0095
"CMTM1",0.0018,0.68,0.94,0.2,1,0.92,0.31,0.97,0.78,0.1,0.77,0.81,0.61,0.002,0.06,0.45,0.013,0.023,0.054,0.6,0.061,0.83,0.24,0.76,0.3,0.083,0.82,1,0.6,0.72,0.77,0.16,0.47
"CMTM2",0.23,0.79,0.65,0.65,0.57,0.34,0.96,0.78,0.8,0.89,0.047,0.72,0.87,0.081,0.61,0.6,0.88,0.12,0.33,0.79,0.042,0.3,0.72,0.93,0.88,0.49,0.14,0.26,0.3,0.17,0.42,0.51,0.62
"CMTM3",0.053,0.064,0.56,0.071,0.82,0.24,0.13,1,0.084,0.47,0.38,0.82,0.66,0.15,1,0.43,0.068,0.039,0.0032,0.28,0.11,0.17,0.45,0.3,0.53,0.59,0.033,0.051,0.33,0.18,0.85,0.64,0.036
"CMTM4",0.0014,0.45,0.053,0.75,0.53,0.31,0.56,0.75,0.76,0.047,0.11,1,0.17,0.0041,0.068,0.025,0.45,0.42,0.099,0.14,0.42,0.54,0.56,0.84,0.71,0.37,0.63,0.6,0.31,0.17,0.99,0.73,0.11
"CMTM5",0.0079,0.075,0.027,0.98,0.82,0.32,0.32,0.43,0.55,0.69,0.69,0.64,0.64,0.0016,0.0014,1,0.067,0.59,0.1,0.29,0.43,0.14,0.58,0.42,0.36,0.61,0.0091,1,0.76,0.76,0.05,0.71,0.34
"CMTM6",0.013,0.29,0.4,0.31,0.23,0.6,0.73,0.18,0.14,0.17,0.68,0.35,0.54,0.69,1,0.11,0.72,0.96,0.063,0.51,0.0053,0.28,0.45,0.41,0.32,0.85,0.18,0.44,0.41,0.88,0.75,0.93,0.61
"CMTM7",0.077,0.98,0.021,0.14,0.79,0.67,0.85,0.39,0.22,0.23,0.98,0.0035,0.61,0.35,0.0062,0.0011,0.052,0.26,0.031,0.93,0.33,0.84,0.92,0.036,0.094,0.064,0.13,0.78,0.87,0.01,0.72,0.016,0.35
"CMTM8",0.83,0.12,0.15,0.77,0.48,0.71,0.17,0.098,0.18,0.35,0.27,1,0.035,0.36,0.25,0.18,0.51,0.86,0.14,0.51,0.89,0.13,0.24,0.2,0.084,0.0018,0.61,0.81,0.51,0.61,0.64,0.42,0.81
"CMTR1",0.55,0.53,0.9,0.74,0.92,0.46,0.27,0.056,0.54,0.31,0.07,0.021,0.75,0.003,0.065,0.31,0.098,0.76,0.13,0.63,0.0072,0.15,0.071,0.012,0.48,0.46,0.25,0.66,0.85,0.48,0.25,0.49,0.62
"CMTR2",0.14,0.93,0.8,0.2,0.89,0.58,0.083,0.31,0.79,0.11,0.64,0.00058,0.1,0.42,0.0037,0.14,0.61,0.14,0.78,0.91,0.27,0.36,0.71,0.04,0.66,0.69,0.58,0.35,0.77,0.6,0.63,0.72,0.67
"CMYA5",0.097,0.37,0.85,0.19,0.5,0.54,0.92,0.79,0.16,0.15,0.59,0.04,0.81,0.16,1,0.9,0.098,0.46,0.18,0.58,0.61,0.013,0.96,0.04,0.22,0.12,0.15,0.56,0.26,0.5,0.31,0.48,0.95
"CNBD2",0.033,0.41,0.81,0.41,0.37,0.41,0.68,0.32,0.21,0.37,0.7,0.95,0.05,0.61,0.91,0.055,0.37,0.075,0.9,0.57,0.024,0.71,0.45,0.15,0.5,0.86,0.26,0.39,0.39,0.13,0.14,0.33,0.028
"CNBP",0.13,0.95,0.68,0.59,0.39,0.5,0.24,0.61,0.068,0.43,0.069,0.0082,0.018,0.98,0.44,0.022,0.16,0.16,0.9,0.78,0.014,0.88,0.13,0.35,0.57,0.18,0.28,0.41,0.13,0.46,0.22,0.3,0.29
"CNDP1",0.65,0.96,0.45,0.54,0.8,0.5,0.13,0.54,0.86,0.24,0.19,0.012,0.25,0.69,1,0.073,0.53,0.62,0.32,0.058,0.67,0.23,0.66,0.44,0.068,0.64,0.74,0.41,0.091,0.2,0.88,0.063,0.71
"CNDP2",0.00044,0.88,0.66,0.5,0.72,0.36,0.13,0.9,0.15,0.54,0.33,1,0.00073,0.035,0.006,0.18,0.97,0.034,0.13,0.87,0.26,0.42,0.31,0.72,0.087,0.0025,0.12,0.023,0.95,0.86,0.33,0.46,0.58
"CNEP1R1",0.27,0.81,0.084,0.25,0.43,0.66,0.27,0.44,0.43,0.23,0.53,0.21,0.67,0.73,0.00014,0.03,0.68,0.1,0.87,0.97,0.42,0.85,0.34,0.085,0.92,0.054,0.35,0.52,0.51,0.41,0.78,0.72,0.37
"CNFN",0.79,0.78,0.22,0.1,0.52,0.64,0.66,0.47,0.69,0.1,0.78,0.0099,0.72,0.82,0.1,0.23,0.1,0.67,0.0055,0.1,0.62,0.94,0.7,0.26,0.42,0.0028,0.73,0.053,0.11,0.52,0.94,0.36,0.92
"CNGA1",0.061,0.66,0.35,0.66,0.58,0.83,0.75,0.96,0.33,0.49,0.55,0.00017,0.77,0.53,0.67,0.11,0.14,0.5,0.22,0.35,0.63,0.21,0.98,0.53,0.058,0.84,0.61,0.46,0.74,0.24,0.6,0.66,0.97
"CNGA2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1
"CNGA3",0.066,0.14,0.59,0.061,1,0.8,1,0.82,0.27,0.55,1,1,1,1,0.0016,1,0.00034,0.68,0.024,0.63,0.011,0.66,0.93,0.62,0.65,1,0.036,0.46,0.21,0.53,0.28,0.58,1
"CNGA4",0.56,0.51,0.24,0.25,0.09,0.34,0.89,0.99,0.89,0.89,0.052,0.06,0.59,0.73,0.0064,0.15,0.43,0.91,0.77,0.95,0.28,0.51,0.57,0.64,0.022,0.8,0.77,0.062,0.14,0.26,1,0.63,0.65
"CNGB1",0.8,0.26,0.0093,0.027,0.92,0.74,0.87,0.28,0.37,0.45,0.24,1,0.056,1,0.033,0.24,0.2,0.52,0.29,0.56,0.022,0.61,0.53,0.63,1,0.0038,0.12,0.91,0.99,0.18,0.31,0.84,1
"CNGB3",1,0.65,1,0.38,1,1,1,0.58,1,0.88,0.16,1,1,0.37,0.15,1,0.37,0.14,1,0.17,1,0.25,1,1,1,1,0.016,0.04,1,1,0.69,0.92,0.94
"CNIH1",0.044,0.012,0.32,0.00028,0.96,0.017,0.71,0.31,0.87,0.13,0.12,0.00027,0.63,0.28,0.66,0.36,0.001,0.94,0.85,0.37,0.037,0.08,0.69,0.72,0.24,0.61,0.73,0.97,0.59,0.57,0.51,0.75,0.95
"CNIH2",0.0026,0.39,0.5,0.28,0.47,0.061,0.42,0.33,0.078,0.67,0.41,1,0.047,0.025,0.83,0.28,0.68,0.7,1,0.57,0.0033,0.81,0.16,0.097,0.23,0.66,0.38,0.34,0.23,0.013,0.79,0.47,0.21
"CNIH3",0.5,0.58,0.053,0.31,0.69,0.76,0.46,0.089,0.73,0.071,0.96,0.5,0.1,0.71,0.53,0.3,0.34,0.15,0.043,0.14,0.73,1,0.56,0.58,0.25,0.43,0.26,0.8,0.68,0.15,0.082,0.53,0.0019
"CNIH4",0.00014,0.11,0.85,0.0045,0.91,0.16,0.47,0.32,0.73,0.00029,0.2,0.65,0.065,0.63,1,0.027,0.46,0.4,0.34,0.073,0.019,0.28,0.78,0.62,0.25,0.92,0.41,0.31,0.53,0.1,0.43,0.84,0.00064
"CNKSR1",0.012,0.04,0.22,0.46,0.8,0.41,0.53,0.25,0.99,0.48,0.016,0.18,0.65,0.3,0.026,0.78,0.34,0.42,0.38,0.34,0.93,0.12,1,0.84,0.41,0.77,0.26,0.27,0.27,0.05,0.49,0.51,0.16
"CNKSR2",0.76,0.38,0.43,0.044,0.57,0.94,0.53,0.57,0.15,0.69,0.86,0.56,0.0037,0.052,0.87,0.13,0.24,0.49,0.099,0.64,0.039,0.37,0.9,0.6,0.26,0.32,0.13,0.41,0.26,0.9,0.097,0.34,0.9
"CNKSR3",0.35,0.57,0.75,0.79,0.52,0.67,0.44,0.97,0.53,0.072,0.93,1,0.78,0.44,0.043,0.44,0.9,0.57,0.1,0.2,0.018,0.28,0.91,0.16,0.12,0.5,0.05,0.99,0.071,0.88,0.91,0.5,0.34
"CNN1",0.026,0.014,0.28,0.39,0.43,0.0078,0.45,0.95,0.48,0.62,0.36,0.91,1,1,0.54,0.28,0.18,0.048,1,0.93,0.82,0.1,0.89,0.53,0.11,0.92,0.32,0.34,0.011,0.81,0.64,0.77,0.85
"CNN2",0.6,0.78,0.43,0.56,0.5,0.27,0.64,0.69,0.69,0.5,0.82,0.35,0.12,0.31,0.31,0.72,0.85,0.75,1,0.65,0.93,0.093,0.27,0.66,0.7,0.14,0.79,0.21,0.97,0.8,0.82,0.18,0.68
"CNN2P1",1,0.36,0.83,0.21,0.66,0.82,0.91,0.47,0.18,0.98,0.19,0.0087,0.014,0.1,0.011,0.24,0.56,0.4,0.17,0.79,0.86,0.37,0.41,0.81,0.54,0.59,0.61,0.82,0.57,0.0071,0.71,0.91,0.0021
"CNN2P4",1,1,1,1,1,1,1,1,1,1,1,0.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CNN2P8",1,1,1,1,1,1,1,1,0.79,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CNN2P9",0.66,0.29,0.67,0.83,0.9,0.83,0.13,0.55,0.89,0.0063,0.99,0.0017,0.68,0.44,0.78,0.079,0.41,0.11,0.01,0.32,0.39,0.92,0.81,0.47,0.66,0.045,0.27,0.79,0.98,0.31,0.23,0.44,0.75
"CNN3",0.11,0.014,0.86,0.14,0.73,0.28,0.89,0.33,0.41,0.97,0.22,0.00059,0.79,0.92,1,0.2,0.54,0.98,0.0035,0.38,0.87,0.81,0.44,0.89,0.067,0.17,0.11,0.052,0.3,0.47,0.1,0.11,0.96
"CNNM1",0.95,0.75,0.1,0.92,0.12,0.088,1,0.63,0.15,0.92,1,0.84,0.55,0.018,0.0055,0.32,0.0018,0.57,0.85,0.94,0.28,0.66,0.63,0.74,0.056,0.0042,0.61,0.52,0.094,0.41,0.064,0.92,0.32
"CNNM2",0.54,0.41,0.42,0.58,0.96,0.52,0.72,0.34,0.95,0.34,0.81,1,0.97,0.7,1,0.85,0.39,0.84,0.49,0.21,0.32,0.4,0.39,0.73,0.97,0.17,0.98,0.6,0.24,0.18,0.86,0.65,0.0055
"CNNM3",0.79,0.67,0.69,0.53,0.59,0.43,0.8,0.96,0.37,0.96,0.28,1,0.77,0.28,0.92,0.56,0.24,0.77,0.6,0.075,0.2,0.19,0.71,0.082,0.24,0.63,0.92,0.85,0.91,0.18,0.3,0.44,0.21
"CNNM4",0.039,0.34,0.024,0.075,0.019,0.4,0.31,0.41,0.12,0.13,0.079,0.0085,0.27,0.25,0.017,0.1,0.72,0.075,0.12,0.011,0.029,0.16,0.79,0.12,0.54,0.33,0.87,0.35,0.065,0.12,0.81,0.73,0.82
"CNOT1",0.25,0.86,0.42,0.53,0.64,0.11,0.71,0.03,0.65,0.7,0.24,1,0.6,0.19,0.00071,0.17,0.12,0.47,0.32,0.67,0.53,0.49,0.35,0.19,0.43,0.69,0.083,0.21,0.26,0.5,0.96,0.21,0.41
"CNOT10",0.25,0.93,0.47,0.5,0.18,0.68,0.22,0.35,0.93,0.78,0.022,0.34,0.77,0.24,0.059,0.014,0.011,0.97,0.85,0.92,0.51,0.71,0.0042,0.35,0.51,0.022,0.33,0.45,0.87,0.089,0.53,0.45,0.17
"CNOT11",0.085,0.81,0.95,0.9,0.02,0.11,0.25,0.61,0.64,0.0069,0.017,0.11,0.066,0.35,1,0.0038,0.19,0.72,0.34,0.69,0.34,0.28,0.5,0.57,0.96,0.07,0.48,0.74,0.51,0.042,0.43,0.66,0.18
"CNOT2",0.085,0.85,0.66,0.26,0.56,0.34,0.29,0.73,0.55,0.66,0.011,0.0022,0.046,0.52,0.48,0.047,0.17,0.61,0.069,0.87,0.2,0.38,0.22,0.19,0.13,0.46,0.3,0.41,0.09,0.095,0.35,0.94,0.85
"CNOT3",1,0.6,0.18,0.85,0.79,0.53,0.15,0.6,0.86,0.86,0.67,0.96,0.12,0.067,1,0.0073,0.44,0.81,0.0026,0.38,0.13,0.42,0.24,0.13,0.0094,0.048,0.74,0.99,0.89,0.12,0.59,0.92,0.048
"CNOT4",0.2,0.26,0.6,0.56,0.68,0.76,0.066,0.37,1,0.037,0.055,1,0.94,0.8,0.12,0.34,0.81,0.64,0.058,0.5,0.38,0.62,0.066,0.36,0.51,0.36,0.6,0.24,0.72,0.63,0.87,0.87,0.095
"CNOT6",1,0.8,0.16,0.9,0.9,0.9,0.27,0.72,0.46,0.29,0.23,1,0.48,0.88,0.84,0.0017,0.63,0.39,0.4,0.55,0.17,0.46,0.032,0.029,0.43,0.99,0.33,0.46,0.068,0.29,0.4,0.35,0.68
"CNOT6L",0.28,0.62,0.38,0.53,0.35,0.35,0.25,0.66,0.81,0.039,0.095,1,0.28,0.14,0.48,0.82,0.13,0.82,0.11,0.7,0.49,0.35,0.46,0.04,0.81,0.68,0.72,0.56,0.21,0.47,0.83,0.25,0.54
"CNOT6LP1",1,0.37,0.54,0.39,0.72,0.81,1,0.57,0.25,0.79,0.0066,0.026,0.13,0.45,0.66,1,0.41,0.91,0.07,0.71,0.38,0.91,0.085,0.87,0.26,0.32,0.089,1,0.16,0.63,1,1,1
"CNOT7",0.66,0.78,0.21,0.55,0.77,0.0075,0.56,0.82,0.83,0.4,0.062,1,0.17,0.78,0.031,0.031,0.84,0.67,0.049,0.53,0.53,0.36,0.41,0.039,0.99,0.88,0.55,0.77,0.37,0.84,0.29,0.32,0.88
"CNOT7P1",1,1,1,1,1,1,1,0.63,1,1,1,1,1,1,1,1,1,1,1,0.72,1,1,1,1,1,1,0.86,1,1,1,1,1,1
"CNOT8",0.19,0.16,0.32,0.42,0.6,0.99,0.25,0.31,0.065,0.88,0.061,0.00011,0.17,0.81,0.09,0.063,0.91,0.3,0.53,0.58,0.21,0.49,0.76,0.14,0.36,0.048,0.38,0.51,0.048,0.2,0.4,0.65,0.92
"CNOT9",1,0.99,0.61,0.46,0.85,0.68,0.27,0.66,0.94,0.044,0.25,0.25,0.095,0.18,0.03,0.015,0.3,0.55,0.0028,0.82,0.51,0.86,0.11,0.59,0.093,0.07,0.22,0.45,0.92,0.2,0.69,0.73,0.39
"CNP",0.077,0.0058,0.36,0.072,0.35,0.97,0.52,0.43,0.65,0.66,0.18,0.28,0.32,0.89,0.83,0.47,0.17,0.54,0.35,0.8,0.09,0.36,0.96,0.45,0.14,0.17,0.47,0.81,0.79,0.46,0.61,0.88,0.66
"CNPPD1",0.51,0.64,0.43,0.66,0.76,0.77,0.13,0.44,0.36,0.066,0.12,1,0.0016,0.44,0.61,0.0049,0.5,0.36,0.079,0.0067,0.87,0.57,0.27,0.87,0.0078,0.32,0.9,0.32,0.89,0.71,0.45,0.39,0.61
"CNPY1",1,1,1,1,0.51,1,1,0.36,0.12,1,1,0.00043,1,1,0.021,1,1,1,1,1,0.83,1,1,1,1,1,0.88,0.84,1,1,1,1,1
"CNPY2",0.01,0.21,0.029,0.16,0.5,0.69,0.72,0.11,0.14,0.95,0.73,0.79,0.028,0.85,0.035,0.0012,0.15,0.14,0.12,0.0091,0.4,0.71,0.68,0.62,0.95,0.43,0.81,0.53,0.76,0.4,0.079,0.42,0.0016
"CNPY3",0.12,0.23,0.89,0.92,0.027,0.06,0.86,0.34,0.26,0.6,0.61,0.78,0.74,0.23,0.00013,0.045,0.78,0.8,0.069,0.69,0.042,0.95,0.36,0.6,0.66,0.89,0.39,0.76,0.93,0.014,0.8,0.4,0.7
"CNPY4",0.53,0.031,0.62,0.48,0.092,0.12,0.84,0.87,0.11,0.34,0.47,0.4,0.044,0.88,1,0.0021,0.43,0.56,0.027,0.62,0.42,0.12,0.44,0.49,0.82,0.68,0.3,0.49,0.031,0.011,0.34,0.28,0.16
"CNR1",0.92,0.85,0.91,0.88,0.18,1,0.38,0.33,0.76,0.065,0.92,0.06,0.6,0.13,0.025,1,0.58,0.43,0.075,0.12,0.23,0.38,0.85,0.93,0.17,0.14,0.04,0.076,0.053,0.8,0.25,0.11,0.25
"CNR2",1,0.24,0.014,0.42,0.046,0.73,0.76,0.23,0.23,0.00018,0.97,0.32,0.49,0.037,1,0.021,0.035,0.45,0.067,0.97,0.4,0.9,0.54,0.97,0.00034,0.0024,0.21,0.34,0.22,0.5,0.55,0.21,1
"CNRIP1",0.41,0.0019,0.25,0.24,0.43,0.17,0.43,0.94,0.71,0.71,0.68,0.012,0.15,0.78,1,0.61,0.0055,0.035,0.026,0.93,0.069,0.45,0.4,0.83,0.78,0.24,0.0016,0.041,0.079,0.67,0.43,0.82,0.49
"CNST",0.88,0.098,0.12,0.63,0.87,0.46,0.071,0.85,0.38,0.77,0.61,1,0.14,0.036,0.35,0.64,0.72,0.91,0.32,0.67,0.35,0.4,0.47,0.25,0.9,0.6,0.45,0.99,0.28,0.92,0.38,0.68,0.98
"CNTD1",0.081,0.032,0.63,0.08,0.11,0.34,0.98,0.33,0.52,0.054,0.59,0.00057,0.19,0.82,0.1,0.047,0.51,0.48,0.53,0.8,0.042,0.98,0.92,0.23,0.58,0.0025,0.18,0.41,0.39,0.093,0.5,0.29,0.077
"CNTD2",0.003,0.57,0.092,0.49,0.26,0.59,0.15,0.98,0.0082,0.47,0.82,1,0.46,0.81,0.13,0.83,0.94,0.25,0.96,0.33,0.85,0.8,0.33,0.81,0.79,0.6,0.54,0.45,0.5,0.69,0.14,0.23,0.71
"CNTF",0.8,0.94,0.6,0.51,0.97,0.49,0.82,0.52,0.89,0.64,0.075,0.091,0.51,0.74,0.41,0.77,0.11,0.3,0.00042,0.98,0.072,0.29,0.35,0.64,0.84,0.83,0.044,0.96,0.56,0.68,0.45,0.31,0.006
"CNTFR",0.0023,0.51,0.88,0.56,0.65,0.99,0.66,0.29,0.48,0.58,0.91,0.13,0.43,1,0.25,0.83,0.14,0.67,0.045,0.5,0.16,0.82,0.3,0.44,0.4,0.016,0.045,0.32,0.19,0.16,0.9,0.87,0.0028
"CNTLN",0.019,0.17,0.17,0.13,0.48,0.75,0.75,0.091,0.95,0.7,0.29,0.028,0.33,0.46,0.78,0.58,0.44,0.17,0.99,0.31,0.7,0.51,0.72,0.98,0.39,0.16,0.072,0.64,0.69,0.91,0.73,0.6,0.31
"CNTN1",0.22,0.017,0.32,0.28,0.16,0.069,0.88,0.63,0.73,0.92,0.53,0.15,0.44,0.98,0.0079,0.38,0.79,0.82,0.82,0.54,0.1,0.54,0.37,0.41,0.88,0.98,0.011,1,0.16,0.72,0.76,0.75,0.014
"CNTN2",0.45,0.17,0.45,0.36,0.49,0.2,0.46,0.58,0.37,0.27,1,0.073,0.27,0.6,0.21,0.88,0.15,0.77,0.36,0.2,0.17,0.22,0.22,0.24,0.72,0.24,0.36,0.18,0.15,0.56,0.052,0.61,0.066
"CNTN3",0.00021,0.69,0.3,0.65,0.52,0.048,0.18,0.63,0.62,0.0074,0.12,0.17,0.8,1,0.0024,0.73,0.056,0.6,0.42,0.85,0.98,0.75,0.73,0.17,0.81,0.59,0.088,0.41,0.76,0.77,0.29,0.97,0.00014
"CNTN4",0.98,0.38,0.81,0.6,0.16,0.45,0.68,0.9,0.38,0.41,0.8,0.12,0.049,1,1,0.8,0.057,0.38,0.94,0.13,0.024,0.88,0.96,0.79,0.51,0.059,0.013,0.1,0.31,0.85,0.2,0.13,0.91
"CNTN5",1,0.35,0.6,0.28,0.59,1,1,0.93,0.093,0.0021,1,0.88,0.16,1,0.54,0.2,0.18,0.52,0.031,0.12,0.32,0.96,0.45,0.12,0.3,1,0.27,0.47,0.16,0.95,0.77,0.76,1
